,Q2,Q3,Q4,rawData
298,1422,NaN,NaN,NaN
299,1812,NaN,NaN,NaN
300,1896,NaN,NaN,NaN
301,1977,NaN,NaN,NaN
302,1478,NaN,NaN,NaN
303,1734,NaN,NaN,NaN
304,1429,NaN,NaN,NaN
305,1372,NaN,NaN,NaN
306,1425,NaN,NaN,NaN
307,1766,NaN,NaN,NaN
308,2279,NaN,NaN,NaN
309,1514,NaN,NaN,NaN
310,1442,NaN,NaN,NaN
311,2378,NaN,NaN,NaN
312,2439,NaN,NaN,NaN
313,3085,NaN,NaN,NaN
314,1888,NaN,NaN,NaN
315,1634,NaN,NaN,NaN
316,2473,NaN,NaN,NaN
317,1694,NaN,NaN,NaN
318,2587,NaN,NaN,NaN
319,3830,NaN,NaN,NaN
320,5364,NaN,NaN,NaN
321,1835,NaN,NaN,NaN
322,2312,NaN,NaN,NaN
323,1454,NaN,NaN,NaN
324,1761,NaN,NaN,NaN
325,1695,NaN,NaN,NaN
326,1578,NaN,NaN,NaN
327,1714,NaN,NaN,NaN
328,1621,NaN,NaN,NaN
329,1536,NaN,NaN,NaN
330,1541,NaN,NaN,NaN
331,1913,NaN,NaN,NaN
332,1797,NaN,NaN,NaN
333,1510,NaN,NaN,NaN
334,2439,NaN,NaN,NaN
335,1737,NaN,NaN,NaN
336,2728,NaN,NaN,NaN
337,2656,NaN,NaN,NaN
338,2046,NaN,NaN,NaN
339,1572,NaN,NaN,NaN
340,2430,NaN,NaN,NaN
341,1615,NaN,NaN,NaN
342,1676,NaN,NaN,NaN
343,1454,NaN,NaN,NaN
344,2904,NaN,NaN,NaN
345,2768,NaN,NaN,NaN
346,3751,NaN,NaN,NaN
347,2052,NaN,NaN,NaN
348,1959,NaN,NaN,NaN
349,1542,NaN,NaN,NaN
350,2603,NaN,NaN,NaN
351,2689,NaN,NaN,NaN
352,4043,NaN,NaN,NaN
353,1869,NaN,NaN,NaN
354,1965,NaN,NaN,NaN
355,1461,NaN,NaN,NaN
356,1374,NaN,NaN,NaN
357,1435,NaN,NaN,NaN
358,1450,NaN,NaN,NaN
359,1350,NaN,NaN,NaN
360,1953,NaN,NaN,NaN
361,1439,NaN,NaN,NaN
362,1509,NaN,NaN,NaN
363,1775,NaN,NaN,NaN
364,1904,NaN,NaN,NaN
365,1509,NaN,NaN,NaN
366,1421,NaN,NaN,NaN
367,1637,NaN,NaN,NaN
368,1544,NaN,NaN,NaN
369,1589,NaN,NaN,NaN
370,1650,NaN,NaN,NaN
371,1826,NaN,NaN,NaN
372,1473,NaN,NaN,NaN
373,2317,NaN,NaN,NaN
374,1509,NaN,NaN,NaN
375,1573,NaN,NaN,NaN
376,1569,NaN,NaN,NaN
377,1464,NaN,NaN,NaN
