,Q2,Q3,Q4,rawData
266,1960,NaN,NaN,NaN
267,2555,NaN,NaN,NaN
268,3023,NaN,NaN,NaN
269,3299,NaN,NaN,NaN
270,3746,NaN,NaN,NaN
271,3950,NaN,NaN,NaN
272,4362,NaN,NaN,NaN
273,5357,NaN,NaN,NaN
274,5625,NaN,NaN,NaN
275,5737,NaN,NaN,NaN
276,5912,NaN,NaN,NaN
277,6642,NaN,NaN,NaN
278,7182,NaN,NaN,NaN
279,7812,NaN,NaN,NaN
280,9840,NaN,NaN,NaN
281,10076,NaN,NaN,NaN
282,11878,NaN,NaN,NaN
283,15204,NaN,NaN,NaN
284,18124,NaN,NaN,NaN
285,21008,NaN,NaN,NaN
286,26660,NaN,NaN,NaN
287,32531,NaN,NaN,NaN
288,38946,NaN,NaN,NaN
289,46889,NaN,NaN,NaN
290,57349,NaN,NaN,NaN
291,71030,NaN,NaN,NaN
292,89526,NaN,NaN,NaN
293,112093,NaN,NaN,NaN
294,144515,NaN,NaN,NaN
295,181025,NaN,NaN,NaN
296,233015,NaN,NaN,NaN
297,301666,NaN,NaN,NaN
