,Q2,Q3,Q4,rawData
290,1025,NaN,NaN,NaN
291,869,NaN,NaN,NaN
292,665,NaN,NaN,NaN
293,748,NaN,NaN,NaN
294,724,NaN,NaN,NaN
295,816,NaN,NaN,NaN
296,1208,NaN,NaN,NaN
297,948,NaN,NaN,NaN
298,747,NaN,NaN,NaN
299,1066,NaN,NaN,NaN
300,1221,NaN,NaN,NaN
301,1270,NaN,NaN,NaN
302,803,NaN,NaN,NaN
303,1011,NaN,NaN,NaN
304,751,NaN,NaN,NaN
305,688,NaN,NaN,NaN
306,711,NaN,NaN,NaN
307,1091,NaN,NaN,NaN
308,1574,NaN,NaN,NaN
309,755,NaN,NaN,NaN
310,742,NaN,NaN,NaN
311,1592,NaN,NaN,NaN
312,1710,NaN,NaN,NaN
313,2233,NaN,NaN,NaN
314,1099,NaN,NaN,NaN
315,895,NaN,NaN,NaN
316,1724,NaN,NaN,NaN
317,943,NaN,NaN,NaN
318,1778,NaN,NaN,NaN
319,2215,NaN,NaN,NaN
320,3675,NaN,NaN,NaN
321,1160,NaN,NaN,NaN
322,1642,NaN,NaN,NaN
323,775,NaN,NaN,NaN
324,1079,NaN,NaN,NaN
325,1018,NaN,NaN,NaN
326,904,NaN,NaN,NaN
327,1021,NaN,NaN,NaN
328,949,NaN,NaN,NaN
329,800,NaN,NaN,NaN
330,834,NaN,NaN,NaN
331,1222,NaN,NaN,NaN
332,1087,NaN,NaN,NaN
333,787,NaN,NaN,NaN
334,1761,NaN,NaN,NaN
335,1042,NaN,NaN,NaN
336,1839,NaN,NaN,NaN
337,1812,NaN,NaN,NaN
338,1271,NaN,NaN,NaN
339,833,NaN,NaN,NaN
340,1707,NaN,NaN,NaN
341,898,NaN,NaN,NaN
342,942,NaN,NaN,NaN
343,682,NaN,NaN,NaN
344,2026,NaN,NaN,NaN
345,1930,NaN,NaN,NaN
346,2729,NaN,NaN,NaN
347,1227,NaN,NaN,NaN
348,1119,NaN,NaN,NaN
349,834,NaN,NaN,NaN
350,1854,NaN,NaN,NaN
351,1219,NaN,NaN,NaN
352,2670,NaN,NaN,NaN
353,1168,NaN,NaN,NaN
354,1286,NaN,NaN,NaN
355,785,NaN,NaN,NaN
356,667,NaN,NaN,NaN
357,756,NaN,NaN,NaN
358,761,NaN,NaN,NaN
359,619,NaN,NaN,NaN
